Task ID,Sprint,Component / תחום,Task Description,Owner,Dependencies,Status,Due Date
BF-303,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),Wishlist,Implement /wishlist CRUD endpoints and UI that lets users save or remove products instantly and handles removed items gracefully.,Frontend Lead,BF-105,Not Started,
BF-304,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),My Groups,"Build the My Groups screen with tabs (Active, Closing Soon, Charged, Refunded, Failed) showing progress bars and countdown timers that poll the backend.",Frontend Lead,BF-203,Not Started,
BF-305,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),Notification Preferences,"Store push, email, and marketing preferences per user and ensure the notification service respects these flags for non-mandatory alerts.",Notifications Engineer,BF-302;BF-206,Not Started,
BF-306,Sprint 3 – User Accounts & Personalization (חשבון משתמש והתאמה אישית),Analytics Events,"Track product_view, wishlist_add/remove, and search_query events so funnel dashboards later show real user behavior.",Data Analyst,BF-303,Not Started,
BF-401,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Admin Product Management,"Build admin console screens to add or edit products, upload images, set pricing, and assign categories with validation and previews.",Admin Portal Dev,BF-104,Not Started,
BF-402,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Admin Group Controls,"Allow admins to create groups, edit deadlines, force-close campaigns, or trigger manual charge/refund overrides from the console.",Admin Portal Dev,BF-401;BF-203,Not Started,
BF-403,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Audit Logging,"Record every admin action (price changes, manual refunds, group closures) into audit_logs with before/after snapshots.",Backend Lead,BF-402,Not Started,
BF-404,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Notification Workers,"Implement worker services that send pending push/email notifications through FCM and SendGrid, handle retries, and mark outcomes.",Notifications Engineer,BF-206,Not Started,
BF-405,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Analytics Pipeline,"Set up event collection plus nightly jobs that aggregate KPIs (GMV, completion rate, payment success) into reporting tables.",Data Engineer,BF-306,Not Started,
BF-406,"Sprint 4 – Admin, Notifications & Analytics (קונסולת אדמין ונתונים)",Executive Dashboards,"Build Mixpanel or Looker dashboards for funnels, group lifecycle, payments, and engagement so leadership can monitor KPIs.",Data Analyst,BF-405,Not Started,
BF-501,"Sprint 5 – QA, Security & Launch (איכות והשקה)",QA Plan,"Create a QA matrix covering flows A–L with positive and negative cases for join, categories, wishlist, payments, refunds, and notifications.",QA Lead,BF-205;BF-304,Not Started,
BF-502,"Sprint 5 – QA, Security & Launch (איכות והשקה)",Payments E2E Testing,"Run end-to-end payment tests from join to charge success/failure and refund in Tranzilla sandbox, then document results.",QA Lead,BF-204,Not Started,
BF-503,"Sprint 5 – QA, Security & Launch (איכות והשקה)",Security & Compliance,"Review authentication, payment handling, and admin access against PCI and privacy requirements and file remediation tickets for gaps.",Security Lead,BF-404,Not Started,
BF-504,"Sprint 5 – QA, Security & Launch (איכות והשקה)",Release Playbooks,"Document deployment checklist, rollback steps, monitoring, and incident contacts so launch night is controlled and reversible.",DevOps Lead,BF-001,Not Started,
